name,latitude_zone,longitude_zone,expressway_name
Trạm Pháp Vân,20.907264,105.861437,Cao tốc Pháp Vân - Ninh Bình
Trạm Thường Tín,20.868322,105.880755,Cao tốc Pháp Vân - Ninh Bình
Trạm  Vạn Điểm,20.773758,105.907576,Cao tốc Pháp Vân - Ninh Bình
Trạm Cầu Giẽ - Hà Nam,20.64792,105.938236,Cao tốc Pháp Vân - Ninh Bình
Trạm Cao Bồ,20.29193,106.011746,Cao tốc Pháp Vân - Ninh Bình
Trạm Km6,21.252528,105.739698,Cao tốc Hà Nội - Lào Cai
Trạm IC3,21.282996,105.668143,Cao tốc Hà Nội - Lào Cai
Trạm IC4,21.357337,105.603286,Cao tốc Hà Nội - Lào Cai
Trạm IC6,21.356643,105.46915,Cao tốc Hà Nội - Lào Cai
Trạm IC7,21.367028,105.380108,Cao tốc Hà Nội - Lào Cai
Trạm IC8,21.393664,105.333807,Cao tốc Hà Nội - Lào Cai
Trạm IC9,21.422191,105.229677,Cao tốc Hà Nội - Lào Cai
Trạm IC10,21.439076,105.118556,Cao tốc Hà Nội - Lào Cai
Trạm IC11,21.533483,104.972777,Cao tốc Hà Nội - Lào Cai
Trạm IC12,21.646971,104.891476,Cao tốc Hà Nội - Lào Cai
Trạm IC14,21.877554,104.674488,Cao tốc Hà Nội - Lào Cai
Trạm IC16,22.155999,104.343488,Cao tốc Hà Nội - Lào Cai
Trạm IC17,22.341042,104.104045,Cao tốc Hà Nội - Lào Cai
Trạm KM237,22.365777,104.080442,Cao tốc Hà Nội - Lào Cai
Trạm hà Nội- Bắc giang,21.090348,105.960562,Cao tốc Hà Nội - Bắc Giang
trạm thu khi km104 - Hà nội bắc giang,21.315809,106.258626,Cao tốc Hà Nội - Bắc Giang
Trạm thu phí lối ra QL37 - Cao tốc Bắc Giang - Lạng Sơn21.38,21.388315,106.298078,Cao tốc Hà Nội - Bắc Giang
Trạm thu phí lối ra QL37 - Cao tốc Bắc Giang - Lạng Sơn,21.388315,106.298078,Cao tốc Bắc Giang - Lạng Sơn
Trạm thu phí 104 cao tóc bắc Giang lạng sơn,21.490853,106.3749,Cao tốc Bắc Giang - Lạng Sơn
Trạm Thu Phí QL279 BOT Bắc Giang - Lạng Sơn,21.619794,106.555823,Cao tốc Bắc Giang - Lạng Sơn
Trạm Vành đai 3,21.003022,105.926474,Cao tốc Hà Nội – Hải Phòng
trạm thu phí nút giao QL39 A,20.852231,106.03236,Cao tốc Hà Nội – Hải Phòng
Trạm thu phí nút giao QL38B,20.858964,106.298455,Cao tốc Hà Nội – Hải Phòng
Trạm thu phí nút giao QL10,20.803156,106.52491,Cao tốc Hà Nội – Hải Phòng
Trạm thu phí nút giao DT353,20.770391,106.712514,Cao tốc Hà Nội – Hải Phòng
Trạm thu phí nút giao DDT353 (Đình vũ),20.832334,106.750571,Cao tốc Hà Nội – Hải Phòng
Trạm thu phí Việt Hưng,20.974237,106.965939,Cao tốc Hạ Long – Vân Đồn
Trạm thu phí Đồng Lá,21.052119,107.167411,Cao tốc Hạ Long – Vân Đồn
Trạm thu phí Cẩm Y,21.094214,107.35542,Cao tốc Hạ Long – Vân Đồn
Trạm thu phí Đoàn Kết,21.082367,107.392656,Cao tốc Hạ Long – Vân Đồn
Trạm thu phí Long Phước,10.785833,106.851811,Cao tốc Long Thành - Dầu Giây
Trạm thu phí Quốc lộ 51,10.765422,106.95638,Cao tốc Long Thành - Dầu Giây
Trạm thu phí Dầu Giây,10.91823,107.163986,Cao tốc Long Thành - Dầu Giây
Trạm thu phí Túy Loan,15.972602,108.162708,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm thu phí Phong Thử,15.891646,108.175684,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm thu phí Hà Lam,15.710627,108.331967,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm thu phí Tam Kỳ,15.535831,108.453173,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm thu phí Chu Lai,15.44026,108.591028,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm thu phí Bắc Quảng Ngãi,15.160476,108.749529,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm thu phí Quảng Ngãi,15.109538,108.757653,Cao tốc Đầ Nẵng - Quảng Ngãi
Trạm Đại Xuyên,20.702097,105.912813,Cao tốc Pháp Vân - Ninh Bình
